Año;Fase;Nivel;Concepto;Concepto_Padre;Unidad;Valor
2023;Comprometido;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,131
2023;Comprometido;3;Gastos de Personal;Funcionamiento;Miles mm COP;8.978,103
2023;Comprometido;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;6.107,829
2023;Comprometido;3;Transferencias;Funcionamiento;Miles mm COP;192.336,379
2023;Comprometido;4;SGP;Transferencias;Miles mm COP;14.233,314
2023;Comprometido;4;Pensiones;Transferencias;Miles mm COP;13.209,574
2023;Comprometido;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;3.625,921
2023;Comprometido;4;Resto;Transferencias;Miles mm COP;161.267,570
2023;Comprometido;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;609,337
2023;Comprometido;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;120,673
2023;Comprometido;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;76,360
2023;Comprometido;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;164,873
2023;Comprometido;2;Servicio de la Deuda;Total PGN;Miles mm COP;32.026,682
2023;Comprometido;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,020
2023;Comprometido;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;10.342,388
2023;Comprometido;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;6.494,608
2023;Comprometido;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;3.792,816
2023;Comprometido;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;54,964
2023;Comprometido;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;21.684,294
2023;Comprometido;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;13.624,332
2023;Comprometido;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;7.226,147
2023;Comprometido;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;9,762
2023;Comprometido;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;824,054
2023;Comprometido;2;Inversión;Total PGN;Miles mm COP;31.580,404
2023;Comprometido;2;Inversión como % del PIB;Inversión;% PIB;0,020
2023;Obligado;1;Total PGN;;Miles mm COP;226.927,859
2023;Obligado;1;PGN como % del PIB;Total PGN;% PIB;0,143
2023;Obligado;2;Funcionamiento;Total PGN;Miles mm COP;186.816,108
2023;Obligado;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,118
2023;Obligado;3;Gastos de Personal;Funcionamiento;Miles mm COP;8.127,158
2023;Obligado;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;1.584,140
2023;Obligado;3;Transferencias;Funcionamiento;Miles mm COP;176.629,535
2023;Obligado;4;SGP;Transferencias;Miles mm COP;14.232,897
2023;Obligado;4;Pensiones;Transferencias;Miles mm COP;6.401,018
2023;Obligado;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;2.286,127
2023;Obligado;4;Resto;Transferencias;Miles mm COP;153.709,493
2023;Obligado;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;141,383
2023;Obligado;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;119,093
2023;Obligado;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;56,446
2023;Obligado;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;158,352
2023;Obligado;2;Servicio de la Deuda;Total PGN;Miles mm COP;31.606,133
2023;Obligado;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,020
2023;Obligado;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;9.933,640
2023;Obligado;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;6.182,379
2023;Obligado;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;3.717,158
2023;Obligado;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;34,102
2023;Obligado;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;21.672,493
2023;Obligado;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;13.624,332
2023;Obligado;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;7.226,147
2023;Obligado;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;0,000
2023;Obligado;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;822,014
2023;Obligado;2;Inversión;Total PGN;Miles mm COP;8.505,618
2023;Obligado;2;Inversión como % del PIB;Inversión;% PIB;0,005
2023;Pagado;1;Total PGN;;Miles mm COP;223.188,005
2023;Pagado;1;PGN como % del PIB;Total PGN;% PIB;0,141
2023;Pagado;2;Funcionamiento;Total PGN;Miles mm COP;186.601,438
2023;Pagado;2;Funcionamiento como % del PIB;Funcionamiento;% PIB;0,118
2023;Pagado;3;Gastos de Personal;Funcionamiento;Miles mm COP;8.095,867
2023;Pagado;3;Adquisición de Bienes y Servicios;Funcionamiento;Miles mm COP;1.496,980
2023;Pagado;3;Transferencias;Funcionamiento;Miles mm COP;176.567,043
2023;Pagado;4;SGP;Transferencias;Miles mm COP;13.665,985
2023;Pagado;4;Pensiones;Transferencias;Miles mm COP;6.398,052
2023;Pagado;4;IES Pública sin Pensiones;Transferencias;Miles mm COP;1.415,869
2023;Pagado;4;Resto;Transferencias;Miles mm COP;155.087,137
2023;Pagado;3;Gastos de Comercialización y Producción;Funcionamiento;Miles mm COP;109,932
2023;Pagado;3;Adquisición de Activos Financieros;Funcionamiento;Miles mm COP;119,071
2023;Pagado;3;Disminución de Pasivos;Funcionamiento;Miles mm COP;55,569
2023;Pagado;3;Gastos por Tributos, Multas, Sanciones e Intereses de Mora;Funcionamiento;Miles mm COP;156,976
2023;Pagado;2;Servicio de la Deuda;Total PGN;Miles mm COP;28.167,935
2023;Pagado;2;Servicio de la Deuda como % del PIB;Servicio de la Deuda;% PIB;0,018
2023;Pagado;3;Servicio de la Deuda Pública Externa;Servicio de la Deuda;Miles mm COP;8.055,160
2023;Pagado;4;Principal - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;5.347,078
2023;Pagado;4;Intereses - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;2.674,441
2023;Pagado;4;Comisiones y Otros Gastos - Deuda Externa;Servicio de la Deuda Pública Externa;Miles mm COP;33,641
2023;Pagado;3;Servicio de la Deuda Pública Interna;Servicio de la Deuda;Miles mm COP;20.112,775
2023;Pagado;4;Principal - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;13.597,019
2023;Pagado;4;Intereses - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;5.693,742
2023;Pagado;4;Comisiones y Otros Gastos - Deuda Interna;Servicio de la Deuda Pública Interna;Miles mm COP;0,000
2023;Pagado;3;Fondo de Contingencias;Servicio de la Deuda;Miles mm COP;822,014
2023;Pagado;2;Inversión;Total PGN;Miles mm COP;8.418,631
2023;Pagado;2;Inversión como % del PIB;Inversión;% PIB;0,005
2024;Vigente;1;Total PGN;;Miles mm COP;484.265,643
2024;Vigente;1;PGN como % del PIB;Total PGN;% PIB;0,283
